ItemID,DepartmentName,ShortDescription,WebURL,Description,SellingPrice,BasePrice,Color,ColorImageURL,Size,ImageURL1,ImageURL2,Style,ProductClass
PETS-69200-STD-30LB,Dog,Blue Buffalo Life Protection Adult Beef,https://www.petsmart.com/dog/food/dry-food/blue-buffalo-life-protection-formula-adult-dry-dog-food---beef-and-brown-rice-69200.html,"Real beef is the first ingredient in this natural adult dog food, enhanced with vitamins and minerals for immune health.",72.99,72.99,Standard,https://s7d2.scene7.com/is/image/PetSmart/69200?fmt=webp&wid=1400&hei=1400,30 lb,https://s7d2.scene7.com/is/image/PetSmart/69200?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/69200_alt1?fmt=webp&wid=1400&hei=1400,69200,dog_food
PETS-69200-STD-15LB,Dog,Blue Buffalo Life Protection Adult Beef,https://www.petsmart.com/dog/food/dry-food/blue-buffalo-life-protection-formula-adult-dry-dog-food---beef-and-brown-rice-69200.html,"Real beef is the first ingredient in this natural adult dog food, enhanced with vitamins and minerals for immune health.",42.99,42.99,Standard,https://s7d2.scene7.com/is/image/PetSmart/69200?fmt=webp&wid=1400&hei=1400,15 lb,https://s7d2.scene7.com/is/image/PetSmart/69200?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/69200_alt1?fmt=webp&wid=1400&hei=1400,69200,dog_food
PETS-5298853-STD-30LB,Dog,Hills Science Diet Large Breed Sensitive,https://www.petsmart.com/dog/food/dry-food/hills-science-diet-sensitive-stomach-and-skin-large-breed-adult-dry-dog-food---chicken-and-barley-5298853.html,"Formulated for large breed dogs with sensitive stomachs, featuring easy-to-digest ingredients and omega-6 fatty acids.",83.99,83.99,Standard,https://s7d2.scene7.com/is/image/PetSmart/5298853?fmt=webp&wid=1400&hei=1400,30 lb,https://s7d2.scene7.com/is/image/PetSmart/5298853?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5298853_alt1?fmt=webp&wid=1400&hei=1400,5298853,dog_food
PETS-5304505-STD-30LB,Dog,Merrick Grain Free Texas Beef,https://www.petsmart.com/dog/food/dry-food/merrick-grain-free-beef-flavored-adult-dry-dog-food---real-texas-beef-and-sweet-potato-5304505.html,"Grain-free recipe featuring real deboned Texas beef and sweet potatoes, perfect for dogs with food sensitivities.",93.99,94.99,Standard,https://s7d2.scene7.com/is/image/PetSmart/5304505?fmt=webp&wid=1400&hei=1400,30 lb,https://s7d2.scene7.com/is/image/PetSmart/5304505?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5304505_alt1?fmt=webp&wid=1400&hei=1400,5304505,dog_food
PETS-5020331-STD-3.5OZ,Dog,Cesar Classics Wet Food Filet Mignon,https://www.petsmart.com/dog/food/wet-food/cesar-classics-adult-wet-dog-food---loaf-filet-mignon-flavor-5020331.html,Gourmet wet dog food loaf with the savory flavor of filet mignon in a convenient peel-away tray.,1.28,1.29,Standard,https://s7d2.scene7.com/is/image/PetSmart/5020331?fmt=webp&wid=1400&hei=1400,3.5 oz,https://s7d2.scene7.com/is/image/PetSmart/5020331?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5020331_alt1?fmt=webp&wid=1400&hei=1400,5020331,dog_food
PETS-5243632-STD-35LB,Dog,Purina Pro Plan Savor Chicken & Rice,https://www.petsmart.com/dog/food/dry-food/purina-pro-plan-brand-dog-food-shredded-blend-chicken-and-rice-formula-adult-dry-dog-food-5243632.html,High-protein formula with real chicken and a unique shredded blend texture for optimal nutrition and taste.,56.98,56.98,Standard,https://s7d2.scene7.com/is/image/PetSmart/5243632?fmt=webp&wid=1400&hei=1400,35 lb,https://s7d2.scene7.com/is/image/PetSmart/5243632?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5243632_alt1?fmt=webp&wid=1400&hei=1400,5243632,dog_food
PETS-5253896-STD-30LB,Dog,Royal Canin French Bulldog Adult Food,https://www.petsmart.com/dog/food/dry-food/royal-canin-breed-health-nutrition-french-bulldog-adult-dry-dog-food-5253896.html,Breed-specific nutrition designed exclusively for purebred French Bulldogs over 12 months old.,69.99,69.99,Standard,https://s7d2.scene7.com/is/image/PetSmart/5253896?fmt=webp&wid=1400&hei=1400,30 lb,https://s7d2.scene7.com/is/image/PetSmart/5253896?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5253896_alt1?fmt=webp&wid=1400&hei=1400,5253896,dog_food
PETS-5014873-RED-SML,Dog,Kong Classic Dog Toy,https://www.petsmart.com/dog/toys/interactive-toys/kong-classic-dog-toy-5014873.html,"The gold standard of dog toys, made from ultra-durable red rubber with an erratic bounce for fetch.",8.99,8.99,Red,https://s7d2.scene7.com/is/image/PetSmart/5014873?fmt=webp&wid=1400&hei=1400,Small,https://s7d2.scene7.com/is/image/PetSmart/5014873?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5014873_alt1?fmt=webp&wid=1400&hei=1400,5014873,dog_toy
PETS-5014873-RED-LRG,Dog,Kong Classic Dog Toy,https://www.petsmart.com/dog/toys/interactive-toys/kong-classic-dog-toy-5014873.html,"The gold standard of dog toys, made from ultra-durable red rubber with an erratic bounce for fetch.",13.99,13.99,Red,https://s7d2.scene7.com/is/image/PetSmart/5014873?fmt=webp&wid=1400&hei=1400,Large,https://s7d2.scene7.com/is/image/PetSmart/5014873?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5014873_alt1?fmt=webp&wid=1400&hei=1400,5014873,dog_toy
PETS-5107910-ORG-MED,Dog,Chuckit! Ultra Ball 2 Pack,https://www.petsmart.com/dog/toys/fetch-toys/chuckit-ultra-ball-tough-dog-toy--2-pack-5107910.html,High-bounce durable rubber ball designed for demanding games of fetch; compatible with Chuckit! launchers.,9.99,11.99,Orange,https://s7d2.scene7.com/is/image/PetSmart/5107910?fmt=webp&wid=1400&hei=1400,Medium,https://s7d2.scene7.com/is/image/PetSmart/5107910?fmt=webp&wid=1400&hei=1400,https://s7d2.scene7.com/is/image/PetSmart/5107910_alt1?fmt=webp&wid=1400&hei=1400,5107910,dog_toy
